Linea_finanziamento|REGIONE|PROVINCIA|COMUNE|COD_COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|CODICEEDIFICIO|COD_PRINC|COD_MPI|NOME_SCUOLA|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|CENTRO_COMUNE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|CUP|Importo totale opera|Finanziamento/ Provvedimento
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Alba|004003|MIUR|2017-03-30|2015-07-01|2016-01-26|CUNEO|COMUNE|||CNEE06001N|ALBA CAP. VIA F.LLI AMBROGIO|ALBA CAP. VIA F.LLI AMBROGIO||Si|44.7009|8.035689999999999|Manutenzione Straordinaria|Concluso|I86E11000370005|280000.0|280000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Albaretto della Torre|004004|MIUR|2017-03-30|2014-12-24|2015-06-22|ALBARETTO DELLA TORRE|COMUNE|||CNAA81401N|ALBARETTO DELLA TORRE-CAPOLUOGO|ALBARETTO DELLA TORRE-CAPOLUOGO||Si|44.5955|8.06519|Adeguamento normativo|Concluso|E93J13002870006|275000.0|275000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Bastia Mondovì|004014|MIUR|2017-03-30|2015-07-14|2015-11-04|BASTIA MONDOVI`|COMUNE|||CNEE80601X|BASTIA MONDOVI`|BASTIA MONDOVI`||Si|44.4426|7.89325|Manutenzione Straordinaria|Concluso|C14H14001020006|150000.0|150000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Bossolasco|004027|MIUR|2017-03-30|2015-05-18|2016-04-26|BOSSOLASCO|COMUNE|0040270002|CNIC81400R|CNAA81403Q|BOSSOLASCO-CAPOLUOGO|||Si|44.5275|8.05062|Efficientamento energetico|Concluso|E44H13000140001|325000.0|325000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Bra|004029|MIUR|2017-03-30|2015-06-16|2015-08-14|BRA|COMUNE|||CNEE064022|BRA-CAP.VENERIA|BRA-CAP.VENERIA||Si|44.6923|7.855119999999999|Efficientamento energetico|Concluso|G74H14000500001|167561.44|167561.44
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Busca|004034|MIUR|2017-03-30|2015-05-13|2015-09-04|BUSCA|COMUNE|||CNMM850011|"BUSCA ""G.CARDUCCI"""|"BUSCA ""G.CARDUCCI"""||Si|44.5169|7.47796|Adeguamento normativo|Concluso|G31E14000420001|255000.0|255000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Caramagna Piemonte|004041|MIUR|2017-03-30|2015-07-01|2015-08-30|CARAMAGNA PIEMONTE|COMUNE|||CNEE83806L|CARAMAGNA PIEMONTE - CAPOL.|CARAMAGNA PIEMONTE - CAPOL.||Si|44.7803|7.73885|Efficientamento energetico|Concluso|H11E11000070000|135371.05|135371.05
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Carrù|004043|MIUR|2017-03-30|2015-07-09|2015-10-07|CARRU`|COMUNE|||CNAA80603R|CARRU`|CARRU`||Si|44.4797|7.87352|Manutenzione Straordinaria|Cantiere aperto|J34H14000770001|250000.0|250000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Castelletto Uzzone|004050|MIUR|2017-03-30|2015-04-13|2015-11-09|CASTELLETTO UZZONE|COMUNE|||CNEE81601E|CASTELLETTO UZZONE - CAPOL.|CASTELLETTO UZZONE - CAPOL.||Si|44.4933|8.189869999999999|Manutenzione Straordinaria|Concluso|H11E14000400003|297500.0|297500.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Ceva|004066|MIUR|2017-03-30|2015-07-16|2016-01-11|CUNEO|PROVINCIA|0040660004||CNPS01101X|CEVA -  G.BARUFFI |CEVA - G.BARUFFI||Si|44.3863|8.02908|Adeguamento normativo|Concluso|I86E10000480003|200000.0|200000.0
