Linea_finanziamento|REGIONE|PROVINCIA|COMUNE|COD_COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|CODICE_EDIFICIO|COD_PRINC|COD_MPI|NOME_SCUOLA|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|CENTRO_COMUNE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|Codice progetto|Importo totale opera|Finanziamento/ Provvedimento
Periferie - Legge n.208 del 28/12/2015|Marche|Ascoli Piceno|Ascoli Piceno|044007|Presidenza Consiglio dei Ministri|2017-01-11|||Ascoli Piceno|COMUNE|0440070579|APIC832007|APMM832018|MONTICELLI|||No|42.852581|13.616449||Dato in raccolta||656000,0000|656000,0000
Periferie - Legge n.208 del 28/12/2015|Marche|Ascoli Piceno|Ascoli Piceno|044007|Presidenza Consiglio dei Ministri|2017-01-11|||Ascoli Piceno|COMUNE|0440070579|APIC832007|APMM832018|MONTICELLI|||No|42.852678|13.617058||Dato in raccolta||480000,0000|240000,0000
Periferie - Legge n.208 del 28/12/2015|Toscana|Firenze|Sesto Fiorentino|048043|Presidenza Consiglio dei Ministri|2017-01-11|||Firenze|COMUNE|0480430014|FIMM49500X|FIMM49500X|CAVALCANTI|||No|43.83657|11.192617||Dato in raccolta||960000,0000|650650,4200
Periferie - Legge n.208 del 28/12/2015|Toscana|Firenze|Firenze|048017|Presidenza Consiglio dei Ministri|2017-01-11|||Firenze|COMUNE|0480170317|FIIC81300V|FIEE813011|BALDUCCI|||No|43.795205|11.19528||Dato in raccolta||940000,0000|634750,0000
Periferie - Legge n.208 del 28/12/2015|Toscana|Firenze|Sesto Fiorentino|048043|Presidenza Consiglio dei Ministri|2017-01-11|||Firenze|COMUNE|0480430021|FIEE54000N|FIEE54001P|DE AMICIS|||No|43.835804|11.201093||Dato in raccolta||1024000,0000|715575,0000
Periferie - Legge n.208 del 28/12/2015|Toscana|Firenze|Scandicci|048041|Presidenza Consiglio dei Ministri|2017-01-11|||Firenze|COMUNE|0480410014|FIIC83500Q|FIEE83502V|ALDO PETTINI|||No|43.769854|11.147904||Dato in raccolta||5088400,0000|5088400,0000
Periferie - Legge n.208 del 28/12/2015|Toscana|Firenze|Firenze|048017|Presidenza Consiglio dei Ministri|2017-01-11|||Firenze|COMUNE|0480170666|FIIC85800C|FIMM85801D|GUICCIARDINI|||No|43.810171|11.237109||Dato in raccolta||2500000,0000|2500000,0000
Periferie - Legge n.208 del 28/12/2015|Toscana|Firenze|Pontassieve|048033|Presidenza Consiglio dei Ministri|2017-01-11|||Firenze Citta` Metropolitana|CITTAMETROPOLITANA|0480330001|FIIS00800G|FITD00801T|ERNESTO BALDUCCI|||No|43.776989|11.42296||Dato in raccolta||1398416,1100|1398416,1100
Periferie - Legge n.208 del 28/12/2015|Toscana|Firenze|Firenze|048017|Presidenza Consiglio dei Ministri|2017-01-11|||Firenze Citta` Metropolitana|CITTAMETROPOLITANA|0480170663|FIRH020009|FIRH02050P|IPSAAR - Bernardo Buontalenti (serale)|||No|43.790624|11.266093||Dato in raccolta||2098000,0000|2098000,0000
Periferie - Legge n.208 del 28/12/2015|Toscana|Firenze|Fiesole|048015|Presidenza Consiglio dei Ministri|2017-01-11|||Firenze|COMUNE|0480150005|FIIC820002|FIMM820A13|Sec. I - Mino da Fiesole (succ)|||No|43.784751|11.363463||Dato in raccolta||3051826,3800|3051826,3800
Periferie - Legge n.208 del 28/12/2015|Toscana|Firenze|Pontassieve|048033|Presidenza Consiglio dei Ministri|2017-01-11|||Firenze|COMUNE|0480330014|FIIC870003|FIEE870015|ITALO CALVINO|||No|43.771667|11.433377||Dato in raccolta||1500000,0000|1500000,0000
Periferie - Legge n.208 del 28/12/2015|Toscana|Firenze|Bagno a Ripoli|048001|Presidenza Consiglio dei Ministri|2017-01-11|||Firenze Citta` Metropolitana|CITTAMETROPOLITANA|||||||Si|43.752149|11.320159||Dato in raccolta||20000,0000|20000,0000
Periferie - Legge n.208 del 28/12/2015|Toscana|Firenze|Cerreto Guidi|048011|Presidenza Consiglio dei Ministri|2017-01-11|||Firenze Citta` Metropolitana|CITTAMETROPOLITANA|||||||No|43.759436|10.877333||Dato in raccolta||1000000,0000|1000000,0000
Periferie - Legge n.208 del 28/12/2015|Toscana|Firenze|Cerreto Guidi|048011|Presidenza Consiglio dei Ministri|2017-01-11|||Firenze Citta` Metropolitana|CITTAMETROPOLITANA|||||||Si|43.758920|10.879069||Dato in raccolta||185000,0000|185000,0000
Periferie - Legge n.208 del 28/12/2015|Toscana|Firenze|San Casciano in Val di Pesa|048038|Presidenza Consiglio dei Ministri|2017-01-11|||Firenze Citta` Metropolitana|CITTAMETROPOLITANA|0480380025||||||No|43.61665|11.191484||Dato in raccolta||980000,0000|980000,0000
Periferie - Legge n.208 del 28/12/2015|Toscana|Firenze|Greve in Chianti|048021|Presidenza Consiglio dei Ministri|2017-01-11|||Firenze|COMUNE|0480210001|FIIC826001|FIMM826012|GIOVANNI DA VERRAZZANO|||No|43.585427|11.315596||Dato in raccolta||700000,0000|700000,0000
Periferie - Legge n.208 del 28/12/2015|Lombardia|Milano|Cinisello Balsamo|015077|Presidenza Consiglio dei Ministri|2017-01-11|||Firenze|COMUNE|0150770810|MIIC82500Q|MIEE82503X|Primaria - R. Bauer|||No|45.541714|9.226004||Dato in raccolta||330000,0000|330000,0000
Periferie - Legge n.208 del 28/12/2015|Lombardia|Mantova|Mantova|020030|Presidenza Consiglio dei Ministri|2017-01-11|||MANTOVA|COMUNE|||||||Si|45.162433|10.794505||Dato in raccolta||8653703,0000|8653703,0000
Periferie - Legge n.208 del 28/12/2015|Lazio|Roma|Roma|058091|Presidenza Consiglio dei Ministri|2017-01-11|||ROMA|COMUNE|0580910951|RMIC85600X|RMEE856012|Primaria - Mazzacurati|||No|41.850610|12.414286||Concluso||3400000,0000|2550000,0000
Periferie - Legge n.208 del 28/12/2015|Piemonte|Torino|Torino|001272|Presidenza Consiglio dei Ministri|2017-01-11|||TORINO|COMUNE|0012720297|TOIC878008|TOEE87802B|I.C. UMBERTO SABA -L. RADICE|||No|45.105134|7.677410||Dato in raccolta||900000,0000|900000,0000
Periferie - Legge n.208 del 28/12/2015|Piemonte|Torino|Torino|001272|Presidenza Consiglio dei Ministri|2017-01-11|||TORINO|COMUNE|0012720160|TOMM00400Q|TOMM00400Q|TORINO - ANTONELLI|||No|45.041718|7.644791||Dato in raccolta||677000,0000|677000,0000
Periferie - Legge n.208 del 28/12/2015|Piemonte|Torino|Torino|001272|Presidenza Consiglio dei Ministri|2017-01-11|||TORINO|COMUNE||TOIC86400A|TOMM86401B|SCUOLA INT.EUROP. A.SPINELLI-TO|||No|45.072239|7.705917||Dato in raccolta||445000,0000|445000,0000
Periferie - Legge n.208 del 28/12/2015|Piemonte|Torino|Torino|001272|Presidenza Consiglio dei Ministri|2017-01-11|||TORINO|COMUNE|0012720015|TOIC88400G|TOMM88401L|IC C.RACCONIGI-V.LUSERNA R. -TO|||No|45.073199|7.644916||Dato in raccolta||480000,0000|480000,0000
