Linea_finanziamento|REGIONE|PROVINCIA|COMUNE|COD_COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|CODICE_EDIFICIO|COD_PRINC|COD_MPI|NOME_SCUOLA|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|CENTRO_COMUNE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|Codice progetto|Importo totale opera|Finanziamento/ Provvedimento
#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Piemonte|Novara|Arona|003008|Amministrazione comunale|2017-11-28|2016-09-29|2017-06-30|COMUNE di Arona|COMUNE|0030080006||NOEE010081|GIAN FILIPPO USELLINI|||Si|45.759816|8.559924|Efficientamento energetico|Concluso|H27B16000360004|58000,0000|26646,8000
#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Piemonte|Novara|Bellinzago Novarese|003016|Amministrazione comunale|2017-11-28|2016-09-01|2016-12-31|COMUNE di Bellinzago Novarese|COMUNE|0030160004||NOIC813002|ANTONELLI - BELLINZAGO NOV.SE|||Si|45.570225|8.639294|Adeguamento impiantistica e/o antincendio|Concluso|J14H08000080004|521820,0000|265200,2800
#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Piemonte|Novara|Biandrate|003018|Amministrazione comunale|2017-11-28|2017-06-12|2018-06-30|COMUNE di Biandrate|COMUNE|0030180001|NOIC81400T|NOMM81401V| G. DA BIANDRATE  BIANDRATE|||No|45.453435|8.463032|arredamento e messa in funzione|Cantiere aperto|J33G16000460004|80000,0000|80000,0000
#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Piemonte|Novara|Borgolavezzaro|003023|Amministrazione comunale|2017-11-28|2016-09-30|2016-12-20|COMUNE di Borgolavezzaro|COMUNE|0030230001||NOEE80904G|G. MERULA BORGOLAVEZZARO|||Si|45.320497|8.699947|RIFACIMENTO INTONACI E PAVIMENTAZIONI|Concluso|D81E16000400004|90000,0000|88822,6900
#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Piemonte|Novara|Cameri|003032|Amministrazione comunale|2017-11-28|2016-05-18|2016-12-13|COMUNE di Cameri|COMUNE|0030321002||NOAA81001B|SCUOLA DELL`INFANZIA STATALE|||Si|45.501259|8.661892|Ampliamento/ sopraelevazione|Concluso|H83G14000230004|290000,0000|194009,3400
#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Piemonte|Novara|Carpignano Sesia|003036|Amministrazione comunale|2017-11-28|2016-07-18|2016-09-08|COMUNE di Carpignano Sesia|COMUNE|0030360002||NOAA80701G|ALDO MORO - CARPIGNANO|||Si|45.535254|8.418077|REALIZZAZIONE DI UN TRATTO DI RECINZIONE ESISTENTE E OPERE AGGIUNTIVE E DI COMPLETAMENTO|Concluso|G34H16000520004|16254,5500|16254,5500
#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Piemonte|Novara|Castelletto sopra Ticino|003043|Amministrazione comunale|2017-11-28|2016-10-01|2016-11-30|COMUNE di Castelletto sopra Ticino|COMUNE|0030430002||NOEE021025|ANNA FRANK|||Si|45.719830|8.636595|Accessibilit� e abbattimento delle barriere architettoniche|Concluso|E14H16000530004|19000,0000|6645,9400
#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Piemonte|Novara|Castelletto sopra Ticino|003043|Amministrazione comunale|2017-11-28|2016-10-01|2016-03-15|COMUNE di Castelletto sopra Ticino|COMUNE|||NOAA02101V| IL GIROTONDO -FRAZ. BRABBIA-|||Si|45.710575|8.644752|rifacimento linee e sostituzione fancoil impianto di riscaldamento|Concluso|E11E14000400004|195000,0000|68208,3300
#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Piemonte|Novara|Divignano|003060|Amministrazione comunale|2017-11-28|2017-06-12|2017-09-06|COMUNE di Divignano|COMUNE|0030600001|NOIC80600V|NOEE806033|DIVIGNANO|||No|45.661965|8.600435|Efficientamento energetico - Sostituzione parziale degli infissi esterni.|Concluso|d99d16000050004|62000,0000|62000,0000
#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Piemonte|Novara|Divignano|003060|Amministrazione comunale|2017-11-28|2016-09-15|2016-11-15|COMUNE di Divignano|COMUNE|0030600002|NOIC80600V|NOAA80603T|SC. INFANZIA DIVIGNANO|||No|45.661932|8.601241|Manutenzione parti ammalorate - Manutenzione straordinaria della copertura e tinteggiatura esterna delle facciate.|Concluso|D99D16000040004|56000,0000|56000,0000
