ANNOSCOLASTICO, CODICESCUOLA, ORDINESCUOLA, ANNOCORSO, FASCIAETA, ALUNNI
201617,AG1E00500B,SCUOLA PRIMARIA,1,6 anni,2
201617,AG1E00500B,SCUOLA PRIMARIA,1,< di 6 anni,2
201617,AG1E00500B,SCUOLA PRIMARIA,2,6 anni,9
201617,AG1E00500B,SCUOLA PRIMARIA,2,7 anni,7
201617,AG1E00500B,SCUOLA PRIMARIA,3,7 anni,5
201617,AG1E00500B,SCUOLA PRIMARIA,3,8 anni,10
201617,AG1E00500B,SCUOLA PRIMARIA,3,9 anni,1
201617,AG1E00500B,SCUOLA PRIMARIA,4,8 anni,8
201617,AG1E00500B,SCUOLA PRIMARIA,4,9 anni,11
201617,AG1E00500B,SCUOLA PRIMARIA,5,10 anni,7
201617,AG1E00500B,SCUOLA PRIMARIA,5,9 anni,5
201617,AG1E006007,SCUOLA PRIMARIA,1,6 anni,18
201617,AG1E006007,SCUOLA PRIMARIA,1,< di 6 anni,5
201617,AG1E006007,SCUOLA PRIMARIA,2,6 anni,7
201617,AG1E006007,SCUOLA PRIMARIA,2,7 anni,13
201617,AG1E006007,SCUOLA PRIMARIA,3,7 anni,6
201617,AG1E006007,SCUOLA PRIMARIA,3,8 anni,19
201617,AG1E006007,SCUOLA PRIMARIA,4,8 anni,7
201617,AG1E006007,SCUOLA PRIMARIA,4,9 anni,19
201617,AG1E006007,SCUOLA PRIMARIA,5,10 anni,14
201617,AG1E006007,SCUOLA PRIMARIA,5,9 anni,8
201617,AG1EVA500E,SCUOLA PRIMARIA,1,6 anni,11
201617,AG1EVA500E,SCUOLA PRIMARIA,1,< di 6 anni,2
201617,AGPC4A5009,SCUOLA SECONDARIA II GRADO,2,> di 18 anni,3
201617,AGPC4A5009,SCUOLA SECONDARIA II GRADO,3,> di 18 anni,3
201617,AGPC4A5009,SCUOLA SECONDARIA II GRADO,4,> di 18 anni,3
201617,AGPC4A5009,SCUOLA SECONDARIA II GRADO,5,18 anni,2
201617,AGPC4A5009,SCUOLA SECONDARIA II GRADO,5,> di 18 anni,1
201617,AGPM00500N,SCUOLA SECONDARIA II GRADO,2,15 anni,1
201617,AGPM00500N,SCUOLA SECONDARIA II GRADO,2,16 anni,1
201617,AGPM00500N,SCUOLA SECONDARIA II GRADO,3,16 anni,2
