ANNOSCOLASTICO, CODICESCUOLA, CODICEEDIFICIO, SPAZIDIDATTICI, AULAMAGNA, MENSA, PALESTRAPISCINA, SPAZIAMMINISTRATIVI
201516,AGAA01103A,0840111102,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA01109L,0840111103,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA02406G,0840274812,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,AGAA02408N,0840274843,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA026067,0840282301,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA02801N,0840302756,Esiste,Non Esiste,Non Esiste,Esiste,Esiste
201516,AGAA034022,0840414314,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA034033,0840414293,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA034044,0840414314,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA034088,0840414278,Esiste,Esiste,Non Esiste,Non Esiste,Esiste
201516,AGAA03502T,0840414292,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA035084,0840413406,Esiste,Esiste,Non Esiste,Esiste,Esiste
201516,AGAA80501X,0840351111,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA80702L,0840144107,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA812013,0840023121,Esiste,Non Esiste,Non Esiste,Esiste,Non Esiste
201516,AGAA812024,0840151900,Esiste,Non Esiste,Non Esiste,Esiste,Esiste
201516,AGAA812035,0840041065,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA81502G,0840111099,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,AGAA817027,0840341115,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA817027,0840341116,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,AGAA820012,0840014192,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA820023,0840014273,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA820023,0840014275,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA820034,0840014221,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA82101T,0840014223,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,AGAA82102V,0840010497,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA82202P,0840014234,Esiste,Esiste,Non Esiste,Esiste,Esiste
201516,AGAA82302E,0840014193,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,AGAA82302E,0840014252,Esiste,Esiste,Non Esiste,Esiste,Esiste
201516,AGAA82303G,0840014226,Esiste,Non Esiste,Non Esiste,Esiste,Non Esiste
201516,AGAA824019,0840014333,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA824019,0840014356,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,AGAA82404C,0840014237,Esiste,Non Esiste,Non Esiste,Esiste,Non Esiste
201516,AGAA82404C,0840014280,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,AGAA82405D,0840014236,Esiste,Esiste,Non Esiste,Esiste,Esiste
201516,AGAA825059,0840014134,Esiste,Non Esiste,Non Esiste,Esiste,Esiste
201516,AGAA825059,0840014139,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA82506A,0840014027,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA82507B,0840014026,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,AGAA82507B,0840014168,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA82507B,0840014355,Non Esiste,Non Esiste,Non Esiste,Esiste,Non Esiste
201516,AGAA826011,0840054835,Esiste,Esiste,Non Esiste,Esiste,Non Esiste
201516,AGAA826044,0840071166,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,AGAA826055,0840071167,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA826066,0840071165,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA82702T,0840091060,Esiste,Non Esiste,Esiste,Non Esiste,Non Esiste
201516,AGAA82703V,0840091059,Esiste,Non Esiste,Esiste,Non Esiste,Non Esiste
201516,AGAA82704X,0840091059,Esiste,Non Esiste,Esiste,Non Esiste,Non Esiste
201516,AGAA82902D,0840111105,Esiste,Non Esiste,Non Esiste,Esiste,Non Esiste
201516,AGAA82903E,0840111100,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA82904G,0840111107,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA83001L,0840111096,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA833036,0840211120,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,AGAA83601G,0840231136,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA83602L,0840231138,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,AGAA83604P,0840231137,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA838028,0840274822,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA838039,0840274810,Esiste,Non Esiste,Non Esiste,Esiste,Esiste
201516,AGAA846038,0840031385,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA84605A,0840031382,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA847045,0840274818,Non Esiste,Non Esiste,Non Esiste,Esiste,Non Esiste
201516,AGAA847045,0840274819,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,AGAA847045,0840274820,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
