ANNOSCOLASTICO, CODICESCUOLA, CODICEEDIFICIO, SCUOLABUS, TRASPORTIPUBBLICIURBANI, TRASPORTIPUBBLICIINTERURBANI, TRASPORTIFERROVIARI, MEZZIPRIVATI, TRASPORTODISABILI, ALTRO
201516,AGAA01103A,0840111102,SI,SI,NO,SI,SI,NO,Non Comunicato
201516,AGAA01109L,0840111103,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGAA02406G,0840274812,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGAA02408N,0840274843,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGAA026067,0840282301,SI,NO,NO,NO,SI,NO,SI
201516,AGAA02801N,0840302756,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGAA034022,0840414314,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGAA034033,0840414293,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGAA034044,0840414314,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGAA034088,0840414278,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGAA03502T,0840414292,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGAA035084,0840413406,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGAA80501X,0840351111,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGAA80702L,0840144107,SI,NO,SI,NO,SI,SI,Non Comunicato
201516,AGAA812013,0840023121,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGAA812024,0840151900,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGAA812035,0840041065,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGAA81502G,0840111099,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGAA817027,0840341115,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGAA817027,0840341116,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGAA820012,0840014192,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGAA820023,0840014273,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGAA820023,0840014275,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGAA820034,0840014221,NO,NO,NO,NO,SI,NO,Non Comunicato
