ANNOSCOLASTICO, CODICESCUOLA, CODICEEDIFICIO, SPERFICIEAREATOTALE, SPERFICIEAREALIBERA, VOLUME
201516,AGAA01103A,0840111102,"3.000,00","2.100,00","3.600,00"
201516,AGAA01109L,0840111103,"18.000,00","6.000,00","9.000,00"
201516,AGAA02406G,0840274812,"1.400,00","455,00","4.930,00"
201516,AGAA02408N,0840274843,"1.400,00","936,00","4.176,00"
201516,AGAA026067,0840282301,"3.246,00","1.914,00","5.028,00"
201516,AGAA02801N,0840302756,"5.500,00","3.826,00",-
201516,AGAA034022,0840414314,"2.500,00","1.334,00",-
201516,AGAA034033,0840414293,"1.980,00","1.710,00",-
201516,AGAA034044,0840414314,"2.500,00","1.334,00",-
201516,AGAA034088,0840414278,"1.768,00","1.100,00",-
201516,AGAA03502T,0840414292,"296,00","166,00","390,00"
201516,AGAA035084,0840413406,"4.698,00","1.835,00","18.265,00"
201516,AGAA80501X,0840351111,"5.343,00","3.040,00","4.714,00"
201516,AGAA80702L,0840144107,"10.472,00","8.267,00","3.698,00"
201516,AGAA812013,0840023121,"1.014,00","300,00","3.458,00"
201516,AGAA812024,0840151900,"8.790,00","7.521,00","9.288,00"
201516,AGAA812035,0840041065,"498,00",-,"1.541,00"
201516,AGAA81502G,0840111099,"5.000,00","3.650,00","17.000,00"
201516,AGAA817027,0840341115,"2.874,00","2.084,00","2.488,00"
201516,AGAA817027,0840341116,"1.276,00","904,00","1.265,00"
201516,AGAA820012,0840014192,"2.330,00","1.535,00","2.910,00"
201516,AGAA820023,0840014273,"141,00",-,-
201516,AGAA820023,0840014275,"1.500,00","1.000,00","3.690,00"
201516,AGAA820034,0840014221,"1.200,00","852,00","2.700,00"
201516,AGAA82101T,0840014223,"5.000,00","3.000,00","13.464,00"
201516,AGAA82102V,0840010497,-,-,-
201516,AGAA82202P,0840014234,"3.500,00","1.620,00","20.960,00"
201516,AGAA82302E,0840014193,"13.500,00","9.000,00","3.553,00"
201516,AGAA82302E,0840014252,"13.500,00","9.000,00","22.615,00"
201516,AGAA82303G,0840014226,"2.767,00","2.180,00","4.090,00"
201516,AGAA824019,0840014333,"1.000,00","480,00","2.184,00"
