Linea_finanziamento|REGIONE|PROVINCIA|COMUNE|COD_COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|CODICE_EDIFICIO|COD_PRINC|COD_MPI|NOME_SCUOLA|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|CENTRO_COMUNE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|Codice progetto|Importo totale opera|Finanziamento/ Provvedimento
PATTI PER IL SUD – FSC 2014-2020 – Delibera CIPE n.26 del 10/08/16|Sicilia|Catania|Catania|087015|Amministrazione comunale|2017-12-28|2017-07-10|2018-01-26|Comune di Catania|COMUNE|0870151669|CTEE008002|CTEE008068|VIA MERLINO||Concessa proroga di 50 gg. Ultimazione prevista in data 26/01/2018.|No|37.518635|15.06295|adeguamento impiantistica e/o antincendio|Cantiere aperto|D69E14000040001|308000,0000|308000,0000
PATTI PER IL SUD – FSC 2014-2020 – Delibera CIPE n.26 del 10/08/16|Sicilia|Catania|Catania|087015|Amministrazione comunale|2017-12-22|2017-07-03|2018-01-29|Comune di Catania|COMUNE|0870151652|CTEE016001|CTEE016034|C.D.PIZZIGONI - VIA SIENA||Concessa proroga di 60 gg - ultimazione prevista in data 29/01/2018|No|37.522855|15.089747|adeguamento impiantistica e/o antincendio|Cantiere aperto|D69E14000060001|278600,0000|278600,0000
PATTI PER IL SUD – FSC 2014-2020 – Delibera CIPE n.26 del 10/08/16|Sicilia|Catania|Catania|087015|Amministrazione comunale|2017-12-22|2017-07-10|2018-01-21|Comune di Catania|COMUNE|0870152580|CTEE016001|CTEE022019|C.D.G.VERGA||Concessa proroga di 45. Ultimazione prevista in data 21/01/2018.|No|37.518986|15.102155|efficientamento energetico|Cantiere aperto|D69E14000070001|279600,0000|279600,0000
PATTI PER IL SUD – FSC 2014-2020 – Delibera CIPE n.26 del 10/08/16|Sicilia|Catania|Catania|087015|Amministrazione comunale|2017-12-21|2017-07-03|2017-11-29|Comune di Catania|COMUNE|0870152001|CTIC8A800E|CTEE8A803P|VIA T. TASSO,1|||No|37.512084|15.05947|adeguamento impiantistica e/o antincendio|Concluso|D69E14000080001|191800,0000|191800,0000
PATTI PER IL SUD – FSC 2014-2020 – Delibera CIPE n.26 del 10/08/16|Sicilia|Catania|Catania|087015|Amministrazione comunale|2017-12-22|2017-07-04|2018-01-20|Comune di Catania|COMUNE|0870152602|CTEE016001|CTEE02202A|VIALE A. DE GASPERI||Concessa proroga di 45. Ultimazione prevista in data 20/01/2018.|No|37.566801|15.060799|adeguamento impiantistica e/o antincendio|Cantiere aperto|D69E14000090001|244900,0000|244900,0000
PATTI PER IL SUD – FSC 2014-2020 – Delibera CIPE n.26 del 10/08/16|Sicilia|Catania|Catania|087015|Amministrazione comunale|2017-12-22|2017-06-27|2017-12-24|Comune di Catania|COMUNE|0870151859|CTIC894004|CTEE894016|C.D. MALERBA||Concessa proroga di 45 gg. Ultimazione prevista in data 24/12/2017.|No|37.525368|15.10132|adeguamento impiantistica e/o antincendio|Cantiere aperto|D65J14000000001|185400,0000|185400,0000
PATTI PER IL SUD – FSC 2014-2020 – Delibera CIPE n.26 del 10/08/16|Sicilia|Catania|Catania|087015|Amministrazione comunale|2017-12-22|2017-07-03|2017-12-25|Comune di Catania|COMUNE|0870152309|CTIC894004|CTEE894016|C.D. MALERBA||Concessa proroga di 25 gg. Ultimazione prevista in data 25/12/2017.|No|37.525814|15.100482|adeguamento impiantistica e/o antincendio|Cantiere aperto|D69E14000100001|276900,0000|276900,0000
PATTI PER IL SUD – FSC 2014-2020 – Delibera CIPE n.26 del 10/08/16|Sicilia|Catania|Catania|087015|Amministrazione comunale|2017-12-22|2017-06-26|2017-12-25|Comune di Catania|COMUNE|0870151521|CTIC894004|CTIC894004|IC MALERBA CATANIA||Concessa proroga di 30 gg. Ultimazione prevista in data 25/12/2017.|No|37.52412|15.110387|adeguamento impiantistica e/o antincendio|Cantiere aperto|D65J14000010001|354900,0000|354900,0000
PATTI PER IL SUD – FSC 2014-2020 – Delibera CIPE n.26 del 10/08/16|Sicilia|Catania|Catania|087015|Amministrazione comunale|2017-12-28|2017-07-03|2018-01-29|Comune di Catania|COMUNE|0870151868|CTIC89800B|CTMM89801C|S.M. DIAZ - MANZONI||Concessa proroga di 60 gg. Ultimazione prorogata al 29/01/2018.|No|37.506903|15.082376|adeguamento impiantistica e/o antincendio|Cantiere aperto|D69E14000110001|284888,0000|284888,0000
PATTI PER IL SUD – FSC 2014-2020 – Delibera CIPE n.26 del 10/08/16|Sicilia|Catania|Catania|087015|Amministrazione comunale|2017-12-28|2017-07-03|2018-01-14|Comune di Catania|COMUNE|0870151820|CTIC8AC00B|CTMM8AC01C|S.M. G.DELEDDA||Concessa proroga di 45 gg. Ultimazione prevista in data 14/01/2018|No|37.508935|15.075548|adeguamento impiantistica e/o antincendio|Cantiere aperto|D65J14000020001|294800,0000|294800,0000
