AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|ANNOSCOLASTICO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME
NORD OVEST|CNIS014001|CNTD014028|"SALUZZO - ""C. DENINA"""|CASA CIRCONDARIALE MORANDI|SALUZZO|IST TEC COMMERCIALE E PER GEOMETRI|REGIONE BRONDA 19/B|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC85900A|CNMM85902C|MONDOVI' 2|MONDOVI' CORDERO SS PIANFEI|PIANFEI|SCUOLA PRIMO GRADO|VIA ROMA 99/F|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC862006|CNAA862013|SALUZZO|SALUZZO-ILARIA ALPI|SALUZZO|SCUOLA INFANZIA|VIA BARGE, 6/A|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC862006|CNAA862024|SALUZZO|SALUZZO-VIA MARIA LUISA ALESSI|SALUZZO|SCUOLA INFANZIA|VIA MARIA LUISA ALESSI|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC862006|CNAA862035|SALUZZO|SALUZZO-FRAZ.CERVIGNASCO|SALUZZO|SCUOLA INFANZIA|VIA REVALANCA, 14|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC862006|CNAA862046|SALUZZO|PAGNO|PAGNO|SCUOLA INFANZIA|VIA CADUTI LIBERAZIONE, 8|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC863002|CNAA86301V|BRA 2|"BRA-VIA OSP. "" G. RODARI"""|BRA|SCUOLA INFANZIA|VIA OSPEDALE, 10|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC86400T|CNAA86402Q|BRA 1|BRA-CARLO COLLODI|BRA|SCUOLA INFANZIA|PIAZZETTA VALFRE' DI BONZO 2/A|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC86400T|CNAA86403R|BRA 1|BRA- S. ANDREA CENTRO STORICO|BRA|SCUOLA INFANZIA|VIA BEATO VALFRE'|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC86500N|CNAA86501E|FOSSANO A|FOSSANO-PIAZZA VITTORIO VENETO|FOSSANO|SCUOLA INFANZIA|PIAZZA VITTORIO VENETO|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC86500N|CNAA86502G|FOSSANO A|FOSSANO-PIAZZA LUIGI DOMPE'|FOSSANO|SCUOLA INFANZIA|PIAZZA LUIGI DOMPE'|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC86500N|CNAA86503L|FOSSANO A|FOSSANO-FRAZ. S.SEBASTIANO|FOSSANO|SCUOLA INFANZIA|VIA DEI PEANI, N.8|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC86600D|CNAA86601A|FOSSANO B|"FOSSANO-""COLLODI"""|FOSSANO|SCUOLA INFANZIA|VIA FORNACE,20|CUNEO|PIEMONTE|||||||||||||||||||
