AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME|SPAZIDIDATTICI|AULAMAGNA|MENSA|PALESTRAPISCINA|SPAZIAMMINISTRATIVI|SCUOLABUS|TRASPORTIPUBBLICIURBANI|TRASPORTIPUBBLICIINTERURBANI|TRASPORTIFERROVIARI|MEZZIPRIVATI|TRASPORTODISABILI|Linea_finanziamento|COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|COD_PRINC|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|CUP|Importo totale opera|Finanziamento/ Provvedimento
NORD OVEST|CNIS014001|CNTD014028|CASA CIRCONDARIALE MORANDI|SALUZZO|IST TEC COMMERCIALE E PER GEOMETRI|REGIONE BRONDA 19/B|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC85900A|CNMM85902C|MONDOVI' CORDERO SS PIANFEI|PIANFEI|SCUOLA PRIMO GRADO|VIA ROMA 99/F|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNAA862013|SALUZZO-ILARIA ALPI|SALUZZO|SCUOLA INFANZIA|VIA BARGE, 6/A|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNAA862024|SALUZZO-VIA MARIA LUISA ALESSI|SALUZZO|SCUOLA INFANZIA|VIA MARIA LUISA ALESSI|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNAA862035|SALUZZO-FRAZ.CERVIGNASCO|SALUZZO|SCUOLA INFANZIA|VIA REVALANCA, 14|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNAA862046|PAGNO|PAGNO|SCUOLA INFANZIA|VIA CADUTI LIBERAZIONE, 8|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNAA86301V|"BRA-VIA OSP. "" G. RODARI"""|BRA|SCUOLA INFANZIA|VIA OSPEDALE, 10|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86400T|CNAA86402Q|BRA-CARLO COLLODI|BRA|SCUOLA INFANZIA|PIAZZETTA VALFRE' DI BONZO 2/A|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86400T|CNAA86403R|BRA- S. ANDREA CENTRO STORICO|BRA|SCUOLA INFANZIA|VIA BEATO VALFRE'|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNAA86501E|FOSSANO-PIAZZA VITTORIO VENETO|FOSSANO|SCUOLA INFANZIA|PIAZZA VITTORIO VENETO|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNAA86502G|FOSSANO-PIAZZA LUIGI DOMPE'|FOSSANO|SCUOLA INFANZIA|PIAZZA LUIGI DOMPE'|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNAA86503L|FOSSANO-FRAZ. S.SEBASTIANO|FOSSANO|SCUOLA INFANZIA|VIA DEI PEANI, N.8|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86600D|CNAA86601A|"FOSSANO-""COLLODI"""|FOSSANO|SCUOLA INFANZIA|VIA FORNACE,20|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86600D|CNAA86602B|"FOSSANO-""RODARI"""|FOSSANO|SCUOLA INFANZIA|VIA VINCENZO SPARLA 1|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNEE862018|SALUZZO-CAP.'C.A. DALLA CHIESA'|SALUZZO|SCUOLA PRIMARIA|VIA ANTICA TORINO|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNEE862029|"SALUZZO - CAPOL. ""MUSSO"""|SALUZZO|SCUOLA PRIMARIA|C.SO PIEMONTE, 185|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNEE86203A|SALUZZO CAPOL. 'PIVANO'|SALUZZO|SCUOLA PRIMARIA|P.ZZA DANTE, 12|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
