AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME|SPAZIDIDATTICI|AULAMAGNA|MENSA|PALESTRAPISCINA|SPAZIAMMINISTRATIVI|SCUOLABUS|TRASPORTIPUBBLICIURBANI|TRASPORTIPUBBLICIINTERURBANI|TRASPORTIFERROVIARI|MEZZIPRIVATI|TRASPORTODISABILI|Linea_finanziamento|COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|COD_PRINC|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|CUP|Importo totale opera|Finanziamento/ Provvedimento|DESCRIZIONE_SINTETICA_CUP|ANNO_DECISIONE|STATO_PROGETTO|COSTO_PROGETTO|FINANZIAMENTO_PROGETTO|CODICE_STATO|STATO|CODICE_AREA_GEOGRAFICA|AREA_GEOGRAFICA|CODICE_REGIONE|CODICE_PROVINCIA|SIGLA_PROVINCIA|CODICE_COMUNE|PIVA_CODFISCALE_SOG_TITOLARE|SOGGETTO_TITOLARE|INDIRIZZO_SOG_TITOLARE|TIPO_INDIRIZZO_SOG_TITOLARE|NUM_CIVICO_SOG_TITOLARE|LOCALITA_SOG_TITOLARE|CAP_SOGGETTO_TITOLARE|COMUNE_SOGGETTO_TITOLARE|CODICE_COMUNE_SOGG_TITOLARE|CODICE_SOTTOCATEG_SOGGETTO|SOTTOCATEGORIA_SOGGETTO|CODICE_CATEGORIA_SOGGETTO|CATEGORIA_SOGGETTO|CODICE_AREA_SOGGETTO|AREA_SOGGETTO|CODICE_NATURA_INTERVENTO|NATURA_INTERVENTO|CODICE_TIPO_INTERVENTO|TIPOLOGIA_INTERVENTO|CODICE_AREA_INTERVENTO|AREA_INTERVENTO|CODICE_SETTORE_INTERVENTO|SETTORE_INTERVENTO|CODICE_SOTTOSETTORE_INTERVENTO|SOTTOSETTORE_INTERVENTO|CODICE_CATEGORIA_INTERVENTO|CATEGORIA_INTERVENTO|SOGGETTO_RICHIEDENTE|TIPOLOGIA_CUP|DESCRIZIONE_INTERVENTO|STRUTTURA_INFRASTRUTTURA|INDIRIZZO_INTERVENTO|NUMERO_DELIBERA_CIPE|ANNO_DELIBERA|FLAG_LEGGE_OBIETTIVO|FINANZA_PROGETTO|FLAG_TIPO_GENERICO|CUP_IN_RELAZIONE|RUOLO_IN_RELAZIONE|DESC_TIPO_RELAZIONE|DATA_ULTIMA_MODIFICA_SSC|DATA_ULTIMA_MODIFICA_UTENTE|DATA_CHIUSURA_REVOCA|CODICE_LOCALE_PROGETTO|CODICE_STRUMENTO_PROGRAM|STRUMENTO_PROGRAMMAZIONE|CODICE_COPERTURA_FINANZIARIA|COPERTURA_FINANZIARIA|SPONSORIZZAZIONI|ALTRE_INFORMAZIONI|DATA_GENERAZIONE_CUP|CONTROLLO_QUALITA|CUP_MASTER|RAGIONI_COLLEGAMENTO|LINK_OPENCOESIONE|LINK_SCUOLE_SICURE
NORD OVEST|CNIS014001|CNTD014028|CASA CIRCONDARIALE MORANDI|SALUZZO|IST TEC COMMERCIALE E PER GEOMETRI|REGIONE BRONDA 19/B|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC85900A|CNMM85902C|MONDOVI' CORDERO SS PIANFEI|PIANFEI|SCUOLA PRIMO GRADO|VIA ROMA 99/F|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNAA862013|SALUZZO-ILARIA ALPI|SALUZZO|SCUOLA INFANZIA|VIA BARGE, 6/A|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNAA862024|SALUZZO-VIA MARIA LUISA ALESSI|SALUZZO|SCUOLA INFANZIA|VIA MARIA LUISA ALESSI|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNAA862035|SALUZZO-FRAZ.CERVIGNASCO|SALUZZO|SCUOLA INFANZIA|VIA REVALANCA, 14|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNAA862046|PAGNO|PAGNO|SCUOLA INFANZIA|VIA CADUTI LIBERAZIONE, 8|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNAA86301V|"BRA-VIA OSP. "" G. RODARI"""|BRA|SCUOLA INFANZIA|VIA OSPEDALE, 10|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86400T|CNAA86402Q|BRA-CARLO COLLODI|BRA|SCUOLA INFANZIA|PIAZZETTA VALFRE' DI BONZO 2/A|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86400T|CNAA86403R|BRA- S. ANDREA CENTRO STORICO|BRA|SCUOLA INFANZIA|VIA BEATO VALFRE'|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNAA86501E|FOSSANO-PIAZZA VITTORIO VENETO|FOSSANO|SCUOLA INFANZIA|PIAZZA VITTORIO VENETO|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNAA86502G|FOSSANO-PIAZZA LUIGI DOMPE'|FOSSANO|SCUOLA INFANZIA|PIAZZA LUIGI DOMPE'|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNAA86503L|FOSSANO-FRAZ. S.SEBASTIANO|FOSSANO|SCUOLA INFANZIA|VIA DEI PEANI, N.8|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
