AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|ALUNNI|Tipo
NORD EST|TNIC803006|TNEE803029|"""VIGOLO VATTARO"""|ALTOPIANO VIGOLANA - VATTARO|ALTOPIANO DELLA VIGOLANA|SCUOLA PRIMARIA|VIA DEI GIARDINI, 1|TRENTO|TRENTINO-ALTO ADIGE||
NORD EST|TNIC803006|TNEE80303A|"""VIGOLO VATTARO"""|ALTOPIANO VIGOLANA - CENTA S.N.|ALTOPIANO DELLA VIGOLANA|SCUOLA PRIMARIA|VIA SAN ROCCO, 4|TRENTO|TRENTINO-ALTO ADIGE||
NORD EST|TBIC80900D|TBEE80902L|SAN CANDIDO - INNICHEN|VERSCIACO/VIERSCHACH|SAN CANDIDO .INNICHEN.|SCUOLA PRIMARIA|Non Disponibile|BOLZANO|TRENTINO-ALTO ADIGE||
NORD EST|TNIC804002|TNEE804014|"""FOLGARIA, LAVARONE E LUSERNA"""|LAVARONE|LAVARONE|SCUOLA PRIMARIA|VIA MARCONI|TRENTO|TRENTINO-ALTO ADIGE||
NORD EST|TBIC80900D|TBEE80903N|SAN CANDIDO - INNICHEN|PRATO DRAVA/WINNEBACH|SAN CANDIDO .INNICHEN.|SCUOLA PRIMARIA|Non Disponibile|BOLZANO|TRENTINO-ALTO ADIGE||
NORD EST|TNIC804002|TNEE804025|"""FOLGARIA, LAVARONE E LUSERNA"""|"FOLGARIA  ""SIMONE LAUTON"""|FOLGARIA|SCUOLA PRIMARIA|VIA S.D'ACQUISTO, 21|TRENTO|TRENTINO-ALTO ADIGE||
NORD EST|TBIC80900D|TBEE80904P|SAN CANDIDO - INNICHEN|SESTO/SEXTEN|SESTO .SEXTEN.|SCUOLA PRIMARIA|Non Disponibile|BOLZANO|TRENTINO-ALTO ADIGE||
NORD EST|TBIC81000N|TBEE81001Q|MICHAEL PACHER|MILLAN/MILLAND|BRESSANONE .BRIXEN.|SCUOLA PRIMARIA|VIA MARIA-MONTESSORI, 6|BOLZANO|TRENTINO-ALTO ADIGE||
NORD EST|TBEE030001|TBEE030056|ORA/AUER|ANTERIVO/ALTREI|ANTERIVO .ALTREI.|SCUOLA PRIMARIA|Non Disponibile|BOLZANO|TRENTINO-ALTO ADIGE||
NORD EST|TBEE030001|TBEE030067|ORA/AUER|MONTAGNA/MONTAN|MONTAGNA .MONTAN.|SCUOLA PRIMARIA|Non Disponibile|BOLZANO|TRENTINO-ALTO ADIGE||
NORD EST|TBEE030001|TBEE030078|ORA/AUER|FONTANEFREDDE/KALTENBRUNN|MONTAGNA .MONTAN.|SCUOLA PRIMARIA|Non Disponibile|BOLZANO|TRENTINO-ALTO ADIGE||
NORD EST|TBEE030001|TBEE030089|ORA/AUER|"""LEONHARD VON LIEBENER"""|TRODENA .TRUDEN.|SCUOLA PRIMARIA|Non Disponibile|BOLZANO|TRENTINO-ALTO ADIGE||
NORD EST|TBIC83300A|TBMM83301B|RIO DI PUSTERIA/MUEHLBACH|KATHARINA LANZ|RIO DI PUSTERIA .MUHLBACH.|SCUOLA PRIMO GRADO|PIAZZA     SCUOLE              1|BOLZANO|TRENTINO-ALTO ADIGE||
NORD EST|TBIC834006|TBMM834017|JENESIEN|JENESIEN|SAN GENESIO ATESINO .JENESIEN.|SCUOLA PRIMO GRADO|SCHRANN, 7 C|BOLZANO|TRENTINO-ALTO ADIGE||
NORD EST|TBIC834006|TBMM834028|JENESIEN|SIEGFRIED TESSMANN|MELTINA .MOLTEN.|SCUOLA PRIMO GRADO|PAESE|BOLZANO|TRENTINO-ALTO ADIGE||
NORD EST|TBIC800003|TBEE800015|SAN MARTINO IN PASSIRIA/ST.MART|SAN MARTINO I.P./ST.MARTIN I.P.|SAN MARTINO IN PASSIRIA .ST MA|SCUOLA PRIMARIA|Non Disponibile|BOLZANO|TRENTINO-ALTO ADIGE||
NORD EST|TNIC803006|TNEE803018|"""VIGOLO VATTARO"""|ALTOPIANO VIGOLANA-VIGOLO VATT.|ALTOPIANO DELLA VIGOLANA|SCUOLA PRIMARIA|VIA G.GARIBALDI, 5|TRENTO|TRENTINO-ALTO ADIGE||
NORD EST|TBIC841009|TBEE84101B|UNTERMAIS/MAIA BASSA|"UNTERMAIS ""KARL ERCKERT"""|MERANO .MERAN.|SCUOLA PRIMARIA|VIA ROMA 128-1|BOLZANO|TRENTINO-ALTO ADIGE||
NORD EST|TNIC841001|TNEE841035|"""RIVA 1"""|NAGO TORBOLE - NAGO|NAGO-TORBOLE|SCUOLA PRIMARIA|VIA A.DE BONETTI|TRENTO|TRENTINO-ALTO ADIGE||
NORD EST|TBIC841009|TBEE84102C|UNTERMAIS/MAIA BASSA|SINIGO/SINICH|MERANO .MERAN.|SCUOLA PRIMARIA|VIA DAMIANO CHIESA|BOLZANO|TRENTINO-ALTO ADIGE||
